timestamp,equity
2026-05-15 04:00:00+00:00,10000.0
2026-05-15 05:00:00+00:00,10000.0
2026-05-15 06:00:00+00:00,10000.0
2026-05-15 07:00:00+00:00,10000.0
2026-05-15 08:00:00+00:00,10000.0
2026-05-15 09:00:00+00:00,10000.0
2026-05-15 10:00:00+00:00,10000.0
2026-05-15 11:00:00+00:00,10000.0
2026-05-15 12:00:00+00:00,10000.0
2026-05-15 13:00:00+00:00,10000.0
2026-05-15 14:00:00+00:00,10000.0
2026-05-15 15:00:00+00:00,10000.0
2026-05-15 16:00:00+00:00,10000.0
2026-05-15 17:00:00+00:00,10000.0
2026-05-15 18:00:00+00:00,10000.0
2026-05-15 19:00:00+00:00,10000.0
2026-05-15 20:00:00+00:00,10000.0
2026-05-15 21:00:00+00:00,10000.0
2026-05-15 22:00:00+00:00,10000.0
2026-05-15 23:00:00+00:00,10000.0
2026-05-16 00:00:00+00:00,10000.0
2026-05-16 01:00:00+00:00,10000.0
2026-05-16 02:00:00+00:00,10000.0
2026-05-16 03:00:00+00:00,10000.0
2026-05-16 04:00:00+00:00,10000.0
2026-05-16 05:00:00+00:00,10000.0
2026-05-16 06:00:00+00:00,10000.0
2026-05-16 07:00:00+00:00,10000.0
2026-05-16 08:00:00+00:00,10000.0
2026-05-16 09:00:00+00:00,10000.0
2026-05-16 10:00:00+00:00,9982.737179458003
2026-05-16 11:00:00+00:00,9995.695846654433
2026-05-16 12:00:00+00:00,9991.847216526148
2026-05-16 13:00:00+00:00,9993.742367377281
2026-05-16 14:00:00+00:00,10007.618459938416
2026-05-16 15:00:00+00:00,10014.7035976881
2026-05-16 16:00:00+00:00,9999.08108787155
2026-05-16 17:00:00+00:00,10009.83395504518
2026-05-16 18:00:00+00:00,10017.25043863859
2026-05-16 19:00:00+00:00,10015.07448982194
2026-05-16 20:00:00+00:00,10003.730798047223
2026-05-16 21:00:00+00:00,10001.56008186049
2026-05-16 22:00:00+00:00,9992.24107166196
2026-05-16 23:00:00+00:00,9988.74001004584
2026-05-17 00:00:00+00:00,9968.044805370664
2026-05-17 01:00:00+00:00,9927.131001484282
2026-05-17 02:00:00+00:00,9949.289014677053
2026-05-17 03:00:00+00:00,9975.838189543383
2026-05-17 04:00:00+00:00,9996.813984789493
2026-05-17 05:00:00+00:00,9996.939693801027
2026-05-17 06:00:00+00:00,9987.373859272064
2026-05-17 07:00:00+00:00,9997.091905973048
2026-05-17 08:00:00+00:00,9975.653070420776
2026-05-17 09:00:00+00:00,10001.314819646166
2026-05-17 10:00:00+00:00,10020.31607888892
2026-05-17 11:00:00+00:00,10007.650109824071
2026-05-17 12:00:00+00:00,10002.977568386203
2026-05-17 13:00:00+00:00,9965.93491949031
2026-05-17 14:00:00+00:00,9941.55150925846
2026-05-17 15:00:00+00:00,9949.838612918598
2026-05-17 16:00:00+00:00,9919.751071429433
2026-05-17 17:00:00+00:00,9925.922451516837
2026-05-17 18:00:00+00:00,9948.194292855776
2026-05-17 19:00:00+00:00,9966.73462740717
2026-05-17 20:00:00+00:00,9951.195212856323
2026-05-17 21:00:00+00:00,9964.489937965076
2026-05-17 22:00:00+00:00,9910.983116310583
2026-05-17 23:00:00+00:00,9766.006009600154
2026-05-18 00:00:00+00:00,9714.780940283365
2026-05-18 01:00:00+00:00,9713.219838569514
2026-05-18 02:00:00+00:00,9695.92407414383
2026-05-18 03:00:00+00:00,9670.749549041739
2026-05-18 04:00:00+00:00,9699.164012635718
2026-05-18 05:00:00+00:00,9667.33531244247
2026-05-18 06:00:00+00:00,9654.548263029927
2026-05-18 07:00:00+00:00,9664.663804319904
2026-05-18 08:00:00+00:00,9672.265771471655
2026-05-18 09:00:00+00:00,9651.986044911502
