preset,strategy,total_return,cagr,volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_factor,trades,exposure
standard,Ichimoku 9/26/52/26,-0.2151453508092811,-0.21518876964195877,0.08696297483736318,-2.742518607019084,-3.6421217954259393,-0.9062236926572211,-0.23745656992368425,0.2537313432835821,0.4297976949781695,67,0.10309396049777372
crypto,Ichimoku 10/30/60/30,-0.13810322637973926,-0.1381324779724673,0.08745257470746813,-1.655865672370307,-2.233154865804589,-0.9155632372272802,-0.15087158631531772,0.27586206896551724,0.5732860400677593,58,0.10925904783651101
crypto_slow,Ichimoku 20/60/120/30,-0.10270860068490417,-0.1027308072165225,0.07694238022447794,-1.3702087835699508,-1.9006720730454056,-0.8461172039508327,-0.12141439358145012,0.2972972972972973,0.5521899243518911,37,0.08140198652814248
dynamic,Ichimoku dynamic quantile (9/26/52/26 | 10/30/60/30 | 20/60/120/30),-0.17364404381813514,-0.17368003540458166,0.0661713354089465,-2.8495358624999585,-3.6547052862671365,-0.9411119770958085,-0.184547683624794,0.23255813953488372,0.37665453117658715,43,0.059938349126612625
