timestamp,equity,cash,quantity,position,halted,close,returns,benchmark_equity,benchmark_returns,drawdown
2025-09-11 09:00:00+00:00,10000.0,10000.0,0.0,0,False,113895.29,0.0,9987.0,0.0,0.0
2025-09-11 10:00:00+00:00,10000.0,10000.0,0.0,0,False,114062.32,0.0,10001.646159731454,0.001466522452333363,0.0
2025-09-11 11:00:00+00:00,10000.0,10000.0,0.0,0,False,113999.99,0.0,9996.18070360943,-0.0005464556568726131,0.0
2025-09-11 12:00:00+00:00,10000.0,10000.0,0.0,0,False,113975.99,0.0,9994.076244329333,-0.00021052633425655554,0.0
2025-09-11 13:00:00+00:00,10000.0,10000.0,0.0,0,False,114628.08,0.0,10051.25527982764,0.005721292703840364,0.0
2025-09-11 14:00:00+00:00,10000.0,10000.0,0.0,0,False,114463.73,0.0,10036.844118049132,-0.0014337673631102943,0.0
2025-09-11 15:00:00+00:00,10000.0,10000.0,0.0,0,False,114180.31,0.0,10011.992207667236,-0.002476068183345115,0.0
2025-09-11 16:00:00+00:00,10000.0,10000.0,0.0,0,False,114487.53,0.0,10038.931040168562,0.0026906565589110976,0.0
2025-09-11 17:00:00+00:00,10000.0,10000.0,0.0,0,False,114589.84,0.0,10047.902174708015,0.0008936344421091036,0.0
2025-09-11 18:00:00+00:00,10000.0,10000.0,0.0,0,False,114312.35,0.0,10023.57024113991,-0.0024215933978091186,0.0
2025-09-11 19:00:00+00:00,10000.0,10000.0,0.0,0,False,114419.99,0.0,10033.008741011154,0.0009416305412321968,0.0
2025-09-11 20:00:00+00:00,10000.0,10000.0,0.0,0,False,114395.99,0.0,10030.904281731055,-0.0002097535579229648,0.0
2025-09-11 21:00:00+00:00,10000.0,10000.0,0.0,0,False,114482.69,0.0,10038.506640880409,0.0007578936988961171,0.0
2025-09-11 22:00:00+00:00,10000.0,10000.0,0.0,0,False,115084.0,0.0,10091.232991285242,0.005252409774787914,0.0
2025-09-11 23:00:00+00:00,10000.0,10000.0,0.0,0,False,115482.69,0.0,10126.192444217842,0.003464339091446167,0.0
2025-09-12 00:00:00+00:00,10000.0,10000.0,0.0,0,False,115840.69,0.0,10157.583961812645,0.0031000317017209067,0.0
2025-09-12 01:00:00+00:00,10000.0,10000.0,0.0,0,False,115377.29,0.0,10116.950360546078,-0.004000321475985724,0.0
2025-09-12 02:00:00+00:00,10000.0,10000.0,0.0,0,False,115391.0,0.0,10118.152532909833,0.0001188275439645281,0.0
2025-09-12 03:00:00+00:00,10000.0,10000.0,0.0,0,False,115194.14,0.0,10100.890705664828,-0.0017060255999166163,0.0
2025-09-12 04:00:00+00:00,10000.0,10000.0,0.0,0,False,115359.99,0.0,10115.43339614834,0.0014397433758348566,0.0
2025-09-12 05:00:00+00:00,10000.0,10000.0,0.0,0,False,115612.84,0.0,10137.604751522209,0.002191834447974328,0.0
2025-09-12 06:00:00+00:00,10000.0,10000.0,0.0,0,False,115318.0,0.0,10111.7514692662,-0.0025502357696600697,0.0
