trade_id,side,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,financing,net_pnl,return_pct,r_multiple,bars_held,exit_reason
1,-1,2025-09-16 18:00:00+00:00,2025-09-18 05:00:00+00:00,-10.694635730605539,0.3445422803996152,,-109.85625790511222,,0.0,-109.85625790511222,-0.010985625790511221,,35,signal
2,-1,2025-09-21 14:00:00+00:00,2025-09-22 01:00:00+00:00,-9.56077809934319,-12.235572843202698,,-312.62984514486743,,0.0,-312.62984514486743,-0.03161024281317953,,11,signal
3,1,2025-09-22 03:00:00+00:00,2025-09-22 04:00:00+00:00,-19.685704265317792,-22.4817963265185,,-106.14866641849221,,0.0,-106.14866641849221,-0.01108311275353988,,1,stop_loss
4,-1,2025-09-24 11:00:00+00:00,2025-09-24 12:00:00+00:00,-12.09532367290191,-9.35147816887401,,-42.01516302285745,,0.0,-42.01516302285745,-0.00443601972896357,,1,stop_loss
5,-1,2025-09-27 16:00:00+00:00,2025-09-28 04:00:00+00:00,1.4543791152725305,-9.617109884987562,,-76.04025530139006,,0.0,-76.04025530139006,-0.008064209596312152,,12,signal
6,1,2025-09-28 05:00:00+00:00,2025-09-28 20:00:00+00:00,-31.078074728891124,-13.547201643668357,,-180.31558223720276,,0.0,-180.31558223720276,-0.019278264684643245,,15,signal
7,-1,2025-10-01 08:00:00+00:00,2025-10-01 15:00:00+00:00,-0.49347270563684553,-3.628923653984714,,41.037134486939976,,0.0,41.037134486939976,0.0044736902104291236,,7,signal
8,-1,2025-10-04 07:00:00+00:00,2025-10-05 20:00:00+00:00,-3.2857857764216014,0.38490648973812647,,-152.12206787984724,,0.0,-152.12206787984724,-0.01650982744281246,,37,signal
9,1,2025-10-06 17:00:00+00:00,2025-10-10 00:00:00+00:00,-5.493854638390669,-14.081204054473812,,881.9072018882198,,0.0,881.9072018882198,0.09732024157661016,,79,signal
10,1,2025-10-13 05:00:00+00:00,2025-10-13 07:00:00+00:00,-15.578190367807874,-19.448688797962827,,-157.59648848353936,,0.0,-157.59648848353936,-0.01584869235145891,,2,stop_loss
11,1,2025-10-19 14:00:00+00:00,2025-10-19 15:00:00+00:00,-9.44733498819229,-10.773141669702039,,-87.02668746443487,,0.0,-87.02668746443487,-0.008892778557570593,,1,stop_loss
12,1,2025-10-25 22:00:00+00:00,2025-10-26 10:00:00+00:00,-7.717415767429388,-6.595921290491624,,-78.5118608276025,,0.0,-78.5118608276025,-0.008094679445694853,,12,signal
13,1,2025-10-27 00:00:00+00:00,2025-10-28 19:00:00+00:00,-10.176684654983438,-12.55122314361616,,186.82614189220112,,0.0,186.82614189220112,0.019419221251234135,,43,signal
14,1,2025-10-29 10:00:00+00:00,2025-10-29 17:00:00+00:00,-15.702903060961965,-13.41939534260731,,-37.0329995714128,,0.0,-37.0329995714128,-0.0037759847933115207,,7,signal
15,-1,2025-10-29 20:00:00+00:00,2025-10-31 22:00:00+00:00,-11.589780059106305,-7.282758943232665,,-96.23985295076818,,0.0,-96.23985295076818,-0.009850069403103866,,50,signal
16,-1,2025-11-01 16:00:00+00:00,2025-11-02 06:00:00+00:00,-6.059474142279022,-6.52381892495978,,-44.14706125271732,,0.0,-44.14706125271732,-0.004563364688652084,,14,signal
17,-1,2025-11-02 08:00:00+00:00,2025-11-03 04:00:00+00:00,-5.460333567249002,-6.167148019756111,,-220.91255808212372,,0.0,-220.91255808212372,-0.022939828296262215,,20,signal
18,1,2025-11-03 11:00:00+00:00,2025-11-05 23:00:00+00:00,-10.11423438764858,-13.675859414814038,,700.2073975856292,,0.0,700.2073975856292,0.07441751139531182,,60,signal
19,1,2025-11-06 17:00:00+00:00,2025-11-06 22:00:00+00:00,-15.318874933832731,-13.776675324677301,,-331.32068990349217,,0.0,-331.32068990349217,-0.03277358324733267,,5,signal
20,-1,2025-11-07 03:00:00+00:00,2025-11-08 12:00:00+00:00,-11.174010012689976,-10.566718841228116,,172.78969199746098,,0.0,172.78969199746098,0.017671159666948648,,33,signal
21,1,2025-11-13 23:00:00+00:00,2025-11-14 14:00:00+00:00,-10.583290423546293,-9.2711840601661,,3.9399190802450903,,0.0,3.9399190802450903,0.0003959378820808273,,15,signal
22,-1,2025-11-15 23:00:00+00:00,2025-11-16 17:00:00+00:00,-3.561150451783851,-3.751287636623145,,-146.68004960355393,,0.0,-146.68004960355393,-0.01473461803124063,,18,signal
23,-1,2025-11-23 18:00:00+00:00,2025-11-24 18:00:00+00:00,-3.722307894090515,-3.7062088649470875,,255.78738524776236,,0.0,255.78738524776236,0.026079168026657943,,24,signal
24,1,2025-11-24 22:00:00+00:00,2025-11-26 17:00:00+00:00,-5.95619574998005,-10.62123489121256,,-150.36732731622396,,0.0,-150.36732731622396,-0.014941259894572222,,43,signal
25,-1,2025-11-27 05:00:00+00:00,2025-11-29 10:00:00+00:00,-3.3468698359684,-0.4499905775100643,,-72.30913242268616,,0.0,-72.30913242268616,-0.007293983251387738,,53,signal
