tenkan,kijun,senkou_b,displacement,is_sharpe,is_cagr,is_max_dd,is_trades,oos_sharpe,oos_cagr,oos_max_dd,oos_trades
9,52,104,52,0.4858273157854059,0.055525398634159284,-0.0637395621429907,17,-2.7068402185790505,-0.2609694659034614,-0.09660622629216742,13
9,60,120,60,0.36930016220461653,0.04344661235996661,-0.07920108564367612,19,-3.4900167912979683,-0.2740567176293516,-0.09161321571487335,9
7,52,104,52,0.22793963618842691,0.021836243382958864,-0.07504951233700419,19,-2.786967075138478,-0.2446260167820229,-0.0866505148060287,12
7,60,120,60,0.2142302299472342,0.02082288498237661,-0.11828943545198356,22,-3.081194439723336,-0.24885693179725799,-0.08226604756608202,11
12,60,120,60,0.17635688558883947,0.014850931189772654,-0.07668992824561982,16,-3.320053157748073,-0.25962145996953956,-0.08626687219026152,10
10,60,120,60,0.04695391791042444,-0.0030058068835779883,-0.0812282929052659,18,-3.309989737443582,-0.2594870895018917,-0.08618182737412095,9
15,52,104,52,-0.022716018497242186,-0.012628699859500325,-0.08749559297353471,20,3.07059485415107,0.7336107526692313,-0.05322723089509662,8
15,60,120,60,-0.03760183155772127,-0.012282312215618596,-0.07024127451507489,14,-0.9246234014159002,-0.13210357293742325,-0.10003363935172505,10
10,52,104,52,-0.3397114888786076,-0.05070549001857794,-0.10831924528929227,18,-4.011275299989598,-0.2933269258401685,-0.09891540877219407,12
12,52,104,52,-0.6082100740908153,-0.08478756983845548,-0.12462809110637474,21,2.5255435354553812,0.607055739761931,-0.06018385103756785,11
15,40,80,40,-0.7491528554406913,-0.1439574716808757,-0.17767796050515205,35,1.3000379315545225,0.26252825957499226,-0.11693731887305125,14
5,60,120,60,-0.7657686599969175,-0.11921854619818262,-0.15593698150439106,28,-1.1992186331055903,-0.1323380198692531,-0.05500469002927222,11
7,40,80,40,-0.860665456539031,-0.14892726148479374,-0.18638657496443378,41,1.647733517083967,0.31486959923295776,-0.08990432534589465,11
15,30,60,30,-1.085403001290087,-0.1758848060384529,-0.1970542299857404,39,2.621375967449639,0.6219052095186031,-0.055564827028610875,17
5,52,104,52,-1.132542539663226,-0.14646472236217023,-0.1650452360150938,25,-1.8725076699306618,-0.19042069909292725,-0.06746272506977136,15
9,40,80,40,-1.2879272149056633,-0.20279485439426503,-0.21660033776459187,36,1.3415821773835073,0.24793748191527887,-0.08868107507469825,12
20,60,120,60,-1.3051902327660705,-0.15164728560737772,-0.11448316364910249,14,2.8200562402626526,0.6605538902441557,-0.07529427749312356,8
15,26,52,26,-1.369679478415324,-0.2288449397464739,-0.24441534026453293,48,1.7424074117236004,0.37500573577297835,-0.07052805523888805,24
20,26,52,26,-1.5418206194856234,-0.27624218232290887,-0.29285839864897323,57,1.4289701294740609,0.3487313739053819,-0.11545852627962849,27
7,30,60,30,-1.5629667791713764,-0.23321909314316713,-0.22873348746645916,41,2.2512998520103165,0.4629275890052873,-0.08968581649471352,15
20,52,104,52,-1.593915269340538,-0.24320723819557755,-0.1892152128344502,21,2.9782690017344144,0.7427829384843625,-0.04725882924244518,8
9,30,60,30,-1.6689748490916965,-0.24639194872283388,-0.2522840962714148,41,1.9853934829968665,0.4040596396870946,-0.09251382333971381,15
5,40,80,40,-1.6733599649581843,-0.2532315032319671,-0.27237806282772103,46,1.520203433076355,0.28508946645531985,-0.07537109810223486,12
15,20,40,20,-1.7447909195428093,-0.2972063703553457,-0.2408098046831154,70,1.1265942636760284,0.22168852234654435,-0.054787904275222954,29
5,30,60,30,-1.9026817121488642,-0.2936770240199814,-0.2672908101117304,49,1.9450965315241389,0.39266888427399227,-0.08825678858988584,18
10,30,60,30,-1.9464439180155397,-0.292774387140871,-0.2739250767729573,44,2.6640623801650922,0.5746454548760345,-0.0685687695720858,14
10,40,80,40,-1.9559711904838781,-0.2824402080758791,-0.2397766566707914,33,1.3867189819320946,0.25386154905032976,-0.08879439430328517,11
12,40,80,40,-2.1843342042153173,-0.31655445633685975,-0.24099763515392425,34,1.5052802633829134,0.2774862280975492,-0.10371876589739992,11
10,20,40,20,-2.22559331989339,-0.3072182836574011,-0.27013522897430076,57,1.6211823479556242,0.30519271462700526,-0.05605018554138963,25
20,40,80,40,-2.241866262707977,-0.3371102160918371,-0.32633124161689586,36,0.4170354373618153,0.0632485644877343,-0.13262632664174023,14
10,26,52,26,-2.309276631258373,-0.3219780618760951,-0.2782432446901971,49,2.4662168419784836,0.5413892079016056,-0.05904298849070588,16
12,30,60,30,-2.52133387599569,-0.36144265330475445,-0.3019452546202729,45,2.1389459043833337,0.4157597156895889,-0.08466895747828962,13
12,20,40,20,-2.5726925164946066,-0.37363129084611424,-0.28195931820045417,62,1.8541481692822868,0.3749612924027965,-0.04433997567220849,25
9,26,52,26,-2.750256472613963,-0.36814127813202213,-0.31918319691438035,52,2.1920743536684633,0.47273357597360754,-0.08037822046864629,16
5,20,40,20,-2.960841557847417,-0.38435251727956454,-0.3655365317975914,65,1.369292071912093,0.2721463413515697,-0.10732396385937126,28
5,26,52,26,-3.1530291667597705,-0.3938753675983021,-0.33818274250569347,57,1.9572608396299858,0.3869043202055398,-0.0810273868178979,20
12,26,52,26,-3.381685225299989,-0.4234305950507826,-0.33631175996230933,51,1.0081652388169036,0.18084325442793947,-0.11092465243173044,20
9,20,40,20,-3.426907391623613,-0.4272112217929682,-0.3506250485532494,60,0.6879579392575195,0.10500200106057456,-0.09067969497495076,25
7,26,52,26,-3.6772659851856004,-0.4303687838070239,-0.3763425971254174,53,2.519834540018146,0.5354081648434919,-0.07952633306951629,15
20,30,60,30,-3.905319307377712,-0.49518125778135635,-0.38473855973941096,47,0.8535720394451345,0.16325626517573455,-0.09521114344669801,21
7,20,40,20,-4.082445798831485,-0.4858774089289468,-0.41143528647276184,66,2.02360982368343,0.43764284062378445,-0.06308529993656675,23
