time,symbol,weight_before,weight_after,turnover
2026-06-10 10:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-06-11 16:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-06-11 16:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-06-12 02:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-06-12 02:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-06-12 22:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-06-12 22:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-06-14 04:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-06-14 04:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-06-14 14:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-06-14 14:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-06-15 00:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-06-15 00:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-06-15 10:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-06-15 10:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-06-15 20:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-06-15 20:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-06-15 20:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-06-15 20:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-06-17 02:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-06-17 02:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-06-18 18:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-06-18 18:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-06-19 14:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-06-19 14:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-06-20 00:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-06-20 00:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-06-20 10:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-06-20 10:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-06-20 10:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-06-20 10:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-06-20 20:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-06-20 20:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-06-21 16:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-06-21 16:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-06-22 02:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-06-22 02:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-06-22 02:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-06-22 02:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-06-22 12:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-06-22 12:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-06-23 08:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-06-23 08:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-06-24 14:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-06-24 14:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-06-24 14:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-06-24 14:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-06-25 00:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-06-25 00:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-06-25 00:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-06-25 00:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-06-26 16:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-06-26 16:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-06-27 02:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-06-27 02:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-06-27 12:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-06-27 12:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-06-27 22:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-06-27 22:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-06-28 08:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-06-28 08:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-06-29 14:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-06-29 14:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-06-29 14:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-06-29 14:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-06-30 00:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-06-30 00:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-06-30 10:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-06-30 10:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-06-30 20:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-06-30 20:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-02 02:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-07-02 02:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-07-02 12:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-07-02 12:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-07-02 22:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-07-02 22:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-03 08:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-07-03 08:00:00+00:00,XRP/USDT,0.0,0.5,0.5
