timestamp,equity,cash,quantity,position,halted,close,returns,benchmark_equity,benchmark_returns,drawdown
2025-09-11 10:00:00+00:00,10000.0,10000.0,0.0,0,False,114062.32,0.0,9987.0,0.0,0.0
2025-09-11 11:00:00+00:00,10000.0,10000.0,0.0,0,False,113999.99,0.0,9981.542547354815,-0.0005464556568725021,0.0
2025-09-11 12:00:00+00:00,10000.0,10000.0,0.0,0,False,113975.99,0.0,9979.441169792093,-0.00021052633425666656,0.0
2025-09-11 13:00:00+00:00,10000.0,10000.0,0.0,0,False,114628.08,0.0,10036.53647374523,0.005721292703840364,0.0
2025-09-11 14:00:00+00:00,10000.0,10000.0,0.0,0,False,114463.73,0.0,10022.146415310506,-0.0014337673631104053,0.0
2025-09-11 15:00:00+00:00,10000.0,10000.0,0.0,0,False,114180.31,0.0,9997.330897442731,-0.0024760681833450038,0.0
2025-09-11 16:00:00+00:00,10000.0,10000.0,0.0,0,False,114487.53,0.0,10024.230281393538,0.0026906565589108755,0.0
2025-09-11 17:00:00+00:00,10000.0,10000.0,0.0,0,False,114589.84,0.0,10033.188278828626,0.0008936344421091036,0.0
2025-09-11 18:00:00+00:00,10000.0,10000.0,0.0,0,False,114312.35,0.0,10008.89197633364,-0.0024215933978090076,0.0
2025-09-11 19:00:00+00:00,10000.0,10000.0,0.0,0,False,114419.99,0.0,10018.316654702447,0.0009416305412319748,0.0
2025-09-11 20:00:00+00:00,10000.0,10000.0,0.0,0,False,114395.99,0.0,10016.215277139725,-0.00020975355792285377,0.0
2025-09-11 21:00:00+00:00,10000.0,10000.0,0.0,0,False,114482.69,0.0,10023.806503585058,0.0007578936988963392,0.0
2025-09-11 22:00:00+00:00,10000.0,10000.0,0.0,0,False,115084.0,0.0,10076.455642845069,0.005252409774787692,0.0
2025-09-11 23:00:00+00:00,10000.0,10000.0,0.0,0,False,115482.69,0.0,10111.3639020318,0.003464339091446167,0.0
2025-09-12 00:00:00+00:00,10000.0,10000.0,0.0,0,False,115840.69,0.0,10142.709450675735,0.0031000317017209067,0.0
2025-09-12 01:00:00+00:00,10000.0,10000.0,0.0,0,False,115377.29,0.0,10102.135352235515,-0.004000321475985613,0.0
2025-09-12 02:00:00+00:00,10000.0,10000.0,0.0,0,False,115391.0,0.0,10103.33576416822,0.00011882754396475015,0.0
2025-09-12 03:00:00+00:00,10000.0,10000.0,0.0,0,False,115194.14,0.0,10086.099214709993,-0.0017060255999168383,0.0
2025-09-12 04:00:00+00:00,10000.0,10000.0,0.0,0,False,115359.99,0.0,10100.620609242387,0.0014397433758350786,0.0
