timestamp,equity,cash,position,quantity,close,halted,returns,benchmark_equity,benchmark_returns,drawdown
2025-09-11 10:00:00+00:00,10000.0,,0,,8.395662642595774,False,0.0,9987.0,0.0,0.0
2025-09-11 11:00:00+00:00,10000.0,,0,,8.396109715293175,False,0.0,9987.531812105728,5.325043613968461e-05,0.0
2025-09-11 12:00:00+00:00,10000.0,,0,,8.395265076777582,False,0.0,9986.527078445704,-0.000100598794469553,0.0
2025-09-11 13:00:00+00:00,10000.0,,0,,8.397823898318482,False,0.0,9989.57090617162,0.00030479341837330587,0.0
2025-09-11 14:00:00+00:00,10000.0,,0,,8.395597145466896,False,0.0,9986.922088362295,-0.0002651583170293348,0.0
2025-09-11 15:00:00+00:00,10000.0,,0,,8.392201233809184,False,0.0,9982.882506119733,-0.00040448720905406077,0.0
2025-09-11 16:00:00+00:00,10000.0,,0,,8.39341974904757,False,0.0,9984.331982141319,0.00014519614156505156,0.0
2025-09-11 17:00:00+00:00,10000.0,,0,,8.39690176236999,False,0.0,9988.473985998713,0.0004148503740464271,0.0
2025-09-11 18:00:00+00:00,10000.0,,0,,8.393965108358953,False,0.0,9984.980710380489,-0.0003497306618729379,0.0
2025-09-11 19:00:00+00:00,10000.0,,0,,8.394738510598309,False,0.0,9985.90070544142,9.213789065953826e-05,0.0
2025-09-11 20:00:00+00:00,10000.0,,0,,8.39327940102953,False,0.0,9984.16503216776,-0.0001738123905751232,0.0
2025-09-11 21:00:00+00:00,10000.0,,0,,8.395978775301883,False,0.0,9987.376053382599,0.0003216113920887498,0.0
2025-09-11 22:00:00+00:00,10000.0,,0,,8.401494981000644,False,0.0,9993.937816123522,0.0006570056745485164,0.0
2025-09-11 23:00:00+00:00,10000.0,,0,,8.402639436017205,False,0.0,9995.29919434189,0.00013622040114880107,0.0
2025-09-12 00:00:00+00:00,10000.0,,0,,8.414511307241948,False,0.0,10009.42129321232,0.0014128740516765603,0.0
2025-09-12 01:00:00+00:00,10000.0,,0,,8.411301423557836,False,0.0,10005.602999205292,-0.0003814700066243626,0.0
2025-09-12 02:00:00+00:00,10000.0,,0,,8.413500173599692,False,0.0,10008.218506474082,0.00026140426209186884,0.0
2025-09-12 03:00:00+00:00,10000.0,,0,,8.413065249160956,False,0.0,10007.701145241914,-5.1693638766336925e-05,0.0
2025-09-12 04:00:00+00:00,10000.0,,0,,8.416568112525228,False,0.0,10011.867951116352,0.0004163599426048048,0.0
2025-09-12 05:00:00+00:00,10000.0,,0,,8.42472915749343,False,0.0,10021.57586335236,0.0009696404590440189,0.0
2025-09-12 06:00:00+00:00,10000.0,,0,,8.420459799325597,False,0.0,10016.497279107463,-0.0005067650351746611,0.0
2025-09-12 07:00:00+00:00,10000.0,,0,,8.417551845639311,False,0.0,10013.03814375374,-0.0003453438120467611,0.0
2025-09-12 08:00:00+00:00,10000.0,,0,,8.415802563095523,False,0.0,10010.957297308556,-0.0002078136940366626,0.0
2025-09-12 09:00:00+00:00,10000.0,,0,,8.415187043570985,False,0.0,10010.22511049338,-7.31385414431962e-05,0.0
2025-09-12 10:00:00+00:00,10000.0,,0,,8.415534703678054,False,0.0,10010.638667068615,4.131341410107403e-05,0.0
2025-09-12 11:00:00+00:00,10000.0,,0,,8.416435400284984,False,0.0,10011.710084227254,0.00010702785249483426,0.0
2025-09-12 12:00:00+00:00,10000.0,,0,,8.417733012264495,False,0.0,10013.253649207298,0.00015417595666056272,0.0
2025-09-12 13:00:00+00:00,10000.0,,0,,8.420602992737182,False,0.0,10016.667613798407,0.00034094458312061704,0.0
2025-09-12 14:00:00+00:00,10000.0,,0,,8.422227352319846,False,0.0,10018.599859035341,0.00019290300042218433,0.0
