strategy,label,final_equity,total_return,cagr,sharpe,max_drawdown,trades,win_rate,profit_factor
ichimoku,Ichimoku 9/26/52/26,7848.548369948804,-0.21514516300511954,-0.21518858180530154,-2.742516063971631,-0.23745657012532018,67,0.2537313432835821,0.42979796750339844
momentum,long-only momentum 20b | entry +2% exit +0%,7780.77566200194,-0.22192243379980603,-0.22196701856314405,-1.9554757838324808,-0.2729777553745426,127,0.30708661417322836,0.6192088507152649
calendar,calendar anomalies [dow+hour],279.1832496662024,-0.9720816750333797,-0.9721044802707821,-21.426139527635353,-0.9721016005563612,1580,0.20632911392405062,0.23180814109328604
divergence,"aroon/rsi divergence [25/14, L10]",7928.681074970872,-0.20713189250291275,-0.20717391546161046,-3.0870184388117985,-0.2292351817375179,128,0.2890625,0.4773127010540802
hurst,Hurst 100/250 + RSI14,4129.159705566093,-0.5870840294433907,-0.5871674256305721,-10.840042496168719,-0.5870840294433907,445,0.20898876404494382,0.24527237588392709
